Title,Authors,Keywords,Date,Abstract,Language,Citations,tokens
Irreducible (v3) configurations and graphs,['Boben M.'],"['Configuration', 'Cubic graph', 'Incidence structure']",2007,Cubic bipartite graphs with girth at least 6 correspond to symmetric combinatorial (v,en,4,"['cubic', 'bipartite', 'graph', 'girth', 'least', 'correspond', 'symmetric', 'combinatorial']"
Advanced traceability system in aquaculture supply chain,"['Parreno-Marchante A.', 'Alvarez-Melcon A.', 'Trebar M.', 'Filippin P.']","['Aquaculture', 'Farmed fish', 'RFID', 'Supply chain', 'Traceability', 'WSN']",2013,"The paper presents a novel traceability system architecture based on web services, which are used to integrate traceability data captured through Radio Frequency Identification (RFID) systems with environmental data collected with Wireless Sensor Networks (WSN) infrastructure. The solution, suitable to be deployed in Small to Medium Enterprises (SMEs), is provided by integrating information collected along the entire food supply chain, tracking the products from the farm to the consumer. The results of the deployment of the novel system in two pilots in the aquaculture business are also presented, showcasing how business processes in the aquaculture supply chain can be improved by the architecture and flexibility of the new system, since the two companies involved in the project are of very different sizes. Additionally, we present an analysis of the benefits obtained by the introduction of the new system in the companies based on predefined objectives and the evaluation of KPIs. The evaluation of KPIs is presented as the time reduction of activities and can improve the Efficiency of the companies in 89-95%. All rights reserved.",en,50,"['present', 'novel', 'traceability', 'system', 'architecture', 'based', 'web', 'service', 'used', 'integrate', 'traceability', 'data', 'captured', 'radio', 'frequency', 'identification', 'rfid', 'system', 'environmental', 'data', 'collected', 'wireless', 'sensor', 'network', 'wsn', 'infrastructure', 'solution', 'suitable', 'deployed', 'small', 'medium', 'enterprise', 'smes', 'provided', 'integrating', 'information', 'collected', 'along', 'entire', 'food', 'supply', 'chain', 'tracking', 'product', 'farm', 'consumer', 'deployment', 'novel', 'system', 'two', 'pilot', 'aquaculture', 'business', 'presented', 'showcasing', 'business', 'process', 'aquaculture', 'supply', 'chain', 'improved', 'architecture', 'flexibility', 'new', 'system', 'since', 'two', 'company', 'involved', 'project', 'different', 'size', 'additionally', 'present', 'benefit', 'obtained', 'introduction', 'new', 'system', 'company', 'based', 'predefined', 'objective', 'evaluation', 'kpis', 'evaluation', 'kpis', 'presented', 'time', 'reduction', 'activity', 'improve', 'efficiency', 'company', 'right', 'reserved', 'right reserved']"
The minor crossing number of graphs with an excluded minor,"['Bokal D.', 'Fijavz G.', 'Wood D.R.']",[],2008,"The minor crossing number of a graph G is the minimum crossing number of a graph that contains G as a minor. It is proved that for every graph H there is a constant c, such that every graph G with no H-minor has minor crossing number at most c|V(G)|.",en,7,"['minor', 'crossing', 'number', 'graph', 'minimum', 'crossing', 'number', 'graph', 'contains', 'minor', 'proved', 'every', 'graph', 'constant', 'every', 'graph', 'h-minor', 'minor', 'crossing', 'number']"
A high-availability Bebras competition system,"['Kristan N.', 'Gostisa D.', 'Fele-Zorz G.', 'Brodnik A.', 'Brodnik A.']",[],2014,"In this paper we present a new system that can be used for the Bebras and related competitions. The system supports both noninteractive tasks consisting of a question and multiple choice answers and standardized interactive tasks. It also contains a highly versatile administration interface permitting individual teachers/mentors to organize their own competitions (class-wide, school-wide,…) that can be used in teaching of informatics. Furthermore, the system is also highly scalable and can be distributed across multiple servers. We have successfully evaluated the system in multiple competitions, some with over 10,000 students. Because it is designed to support i18n, it was easily localized and used in Slovenia and in Serbia.",en,3,"['present', 'new', 'system', 'used', 'bebras', 'related', 'competition', 'system', 'support', 'noninteractive', 'task', 'consisting', 'question', 'multiple', 'choice', 'answer', 'standardized', 'interactive', 'task', 'contains', 'highly', 'versatile', 'administration', 'interface', 'permitting', 'individual', 'teacher', 'mentor', 'organize', 'competition', 'class-wide', 'school-wide', 'used', 'teaching', 'informatics', 'furthermore', 'system', 'highly', 'scalable', 'distributed', 'across', 'multiple', 'server', 'successfully', 'evaluated', 'system', 'multiple', 'competition', 'student', 'designed', 'support', 'i18n', 'easily', 'localized', 'used', 'slovenia', 'serbia']"
Information systems security and human behaviour,"['Trcek D.', 'Trobec R.', 'Pavesic N.', 'Tasic J.F.']","['Business dynamics', 'Human behaviour', 'Information systems', 'Modeling and simulation', 'Security policy']",2007,"Until recently, most of the effort for providing security in information systems has been focused on technology. However, it turned out during the last years that human factors have played a central role. Therefore, to ensure appropriate security in contemporary information systems, it is necessary to address not only technology-related issues, but also human behaviour and organisation-related issues that are usually embodied in security policies. This paper presents a template model, which is intended to support risk management for information systems, and which is concentrated on human factors. The model is based on business dynamics that provide the means for qualitative and quantitative treatment of the above-mentioned issues.",en,27,"['recently', 'effort', 'providing', 'security', 'information', 'system', 'focused', 'technology', 'however', 'turned', 'last', 'year', 'human', 'factor', 'played', 'central', 'role', 'therefore', 'ensure', 'appropriate', 'security', 'contemporary', 'information', 'system', 'necessary', 'address', 'technology-related', 'issue', 'human', 'behaviour', 'organisation-related', 'issue', 'usually', 'embodied', 'security', 'policy', 'present', 'template', 'model', 'intended', 'support', 'risk', 'management', 'information', 'system', 'concentrated', 'human', 'factor', 'model', 'based', 'business', 'dynamic', 'provide', 'mean', 'qualitative', 'quantitative', 'treatment', 'above-mentioned', 'issue']"
15 seconds of fame,['Solina F.'],[],2004,"15 seconds of fame is an interactive installation that every 15 seconds generates a new pop-art portrait of a randomly selected viewer. The installation was inspired by Andy Warhol's ironical statement that ""in the future everybody will be famous for 15 minutes."" The installation detects human faces and crops them from the wide-angle view of people standing before the installation. Pop-art portraits are then generated by applying randomly selected filters to a randomly chosen face from the audience. These portraits are then shown in 15-second intervals on the flat-panel computer monitor, which is framed as a painting. ©2004 ISAST.",en,11,"['second', 'fame', 'interactive', 'installation', 'every', 'second', 'generates', 'new', 'pop-art', 'portrait', 'randomly', 'selected', 'viewer', 'installation', 'inspired', 'andy', 'warhol', 'ironical', 'statement', 'future', 'everybody', 'famous', 'minute', 'installation', 'detects', 'human', 'face', 'crop', 'wide-angle', 'view', 'people', 'standing', 'installation', 'pop-art', 'portrait', 'generated', 'applying', 'randomly', 'selected', 'filter', 'randomly', 'chosen', 'face', 'audience', 'portrait', 'shown', 'interval', 'flat-panel', 'computer', 'monitor', 'framed', 'painting', 'isast']"
Complete and reusable description of message structural constraints in web service interfaces,"['Frece A.', 'Juric M.B.']","['Reuse', 'Service description', 'Use case-specific structural constraints', 'XML Schema (XSD)']",2013,"Existing specifications for describing message structure as a part of web service description do not support use case-specific definition of structural constraints. We propose a solution to describe a complete set of structural constraints for a particular business object in all its use cases. To implement our solution we use XML Schema (XSD), de facto standard for description of web service message structure. We propose XSD extensions that realize two distinct and complementary approaches. Measurements have shown that by using our extensions the average complexity of real world schemas (XSD documents) comparing to expressional equivalent alternatives is smaller by ~ 29%.V. All rights reserved.",en,1,"['existing', 'specification', 'describing', 'message', 'structure', 'part', 'web', 'service', 'description', 'support', 'use', 'case-specific', 'definition', 'structural', 'constraint', 'propose', 'solution', 'describe', 'complete', 'set', 'structural', 'constraint', 'particular', 'business', 'object', 'use', 'case', 'implement', 'solution', 'use', 'xml', 'schema', 'xsd', 'de', 'facto', 'standard', 'description', 'web', 'service', 'message', 'structure', 'propose', 'xsd', 'extension', 'realize', 'two', 'distinct', 'complementary', 'approach', 'measurement', 'shown', 'using', 'extension', 'average', 'complexity', 'real', 'world', 'schema', 'xsd', 'document', 'comparing', 'expressional', 'equivalent', 'alternative', 'smaller', 'right', 'reserved', 'right reserved']"
Secure and interoperable communication infrastructures for PPDR organisations,"['Muller W.', 'Marques H.', 'Pereira L.', 'Rodriguez J.', 'Brouwer F.', 'Bouwers B.', 'Politis I.', 'Lykourgiotis A.', 'Ladas A.', 'Adigun O.', 'Jelenc D.']","['Communication Infrastructures', 'Enterprise Architecture', 'Long Term Evolution (LTE)', 'PPDR', 'Public Safety', 'Rivate Mobile Radio (PMR)', 'Security', 'TETRA', 'TETRAPOL']",2016,"The growing number of events affecting public safety and security (PS&S) on a regional scale with potential to grow up to large scale cross border disasters puts an increased pressure on agencies and organisation responsible for PS&S. In order to respond timely and in an adequate manner to such events, Public Protection and Disaster Relief (PPDR) organisations need to cooperate, align their procedures and activities, share the needed information and be interoperable. Existing PPDR/PMR technologies such as TETRA, TETRAPOL or P25, do not currently provide broadband capability nor is expected such technologies to be upgraded in the future. This presents a major limitation in supporting new services and information flows. Furthermore, there is no known standard that addresses interoperability of these technologies. In this contribution the design of a next generation communication infrastructure for PPDR organisations which fulfills the requirements of secure and seamless end-to-end communication and interoperable information exchange within the deployed communication networks is presented. Based on Enterprise Architecture of PPDR organisations, a next generation PPDR network that is backward compatible with legacy communication technologies is designed and implemented, capable of providing security, privacy, seamless mobility, QoS and reliability support for mission-critical Private Mobile Radio (PMR) voice and broadband data services. The designed solution provides a robust, reliable, and secure mobile broadband communications system for a wide variety of PMR applications and services on PPDR broadband networks, including the ability of inter-system, interagency and cross-border operations with emphasis on interoperability between users in PMR and LTE.",en,2,"['growing', 'number', 'event', 'affecting', 'public', 'safety', 'security', 'regional', 'scale', 'potential', 'grow', 'large', 'scale', 'cross', 'border', 'disaster', 'put', 'increased', 'pressure', 'agency', 'organisation', 'responsible', 'order', 'respond', 'timely', 'adequate', 'manner', 'event', 'public', 'protection', 'disaster', 'relief', 'ppdr', 'organisation', 'need', 'cooperate', 'align', 'procedure', 'activity', 'share', 'needed', 'information', 'interoperable', 'existing', 'ppdr', 'pmr', 'technology', 'tetra', 'tetrapol', 'p25', 'currently', 'provide', 'broadband', 'capability', 'expected', 'technology', 'upgraded', 'future', 'present', 'major', 'limitation', 'supporting', 'new', 'service', 'information', 'flow', 'furthermore', 'known', 'standard', 'address', 'interoperability', 'technology', 'contribution', 'design', 'next', 'generation', 'communication', 'infrastructure', 'ppdr', 'organisation', 'fulfills', 'requirement', 'secure', 'seamless', 'end-to-end', 'communication', 'interoperable', 'information', 'exchange', 'deployed', 'communication', 'network', 'presented', 'based', 'enterprise', 'architecture', 'ppdr', 'organisation', 'next', 'generation', 'ppdr', 'network', 'backward', 'compatible', 'legacy', 'communication', 'technology', 'designed', 'implemented', 'capable', 'providing', 'security', 'privacy', 'seamless', 'mobility', 'qos', 'reliability', 'support', 'mission-critical', 'private', 'mobile', 'radio', 'pmr', 'voice', 'broadband', 'data', 'service', 'designed', 'solution', 'provides', 'robust', 'reliable', 'secure', 'mobile', 'broadband', 'communication', 'system', 'wide', 'variety', 'pmr', 'application', 'service', 'ppdr', 'broadband', 'network', 'including', 'ability', 'inter-system', 'interagency', 'cross-border', 'operation', 'emphasis', 'interoperability', 'user', 'pmr', 'lte']"
Learning and explaining the impact of enterprises' organizational quality on their economic results,"['Pregeljc M.', 'Strumbelj E.', 'Mihelcic M.', 'Kononenko I.']",[],2012,"The authors employed traditional and novel machine learning to improve insight into the connections between the quality of an organization of enterprises as a type of formal social units and the results of enterprises' performance in this chapter. The analyzed data set contains 72 Slovenian enterprises' economic results across four years and indicators of their organizational quality. The authors hypothesize that a causal relationship exists between the latter and the former. In the first part of a two-part process, they use several classification algorithms to study these relationships and to evaluate how accurately they predict the target economic results. However, the most successful models were often very complex and difficult to interpret, especially for non-technical users. Therefore, in the second part, the authors take advantage of a novel general explanation method that can be used to explain the influence of individual features on the model's prediction. Results show that traditional machine-learning approaches are successful at modeling the dependency relationship. Furthermore, the explanation of the influence of the input features on the predicted economic results provides insights that have a meaningful economic interpretation.",en,4,"['author', 'employed', 'traditional', 'novel', 'machine', 'learning', 'improve', 'insight', 'connection', 'quality', 'organization', 'enterprise', 'type', 'formal', 'social', 'unit', 'enterprise', 'performance', 'chapter', 'analyzed', 'data', 'set', 'contains', 'slovenian', 'enterprise', 'economic', 'across', 'four', 'year', 'indicator', 'organizational', 'quality', 'author', 'hypothesize', 'causal', 'relationship', 'exists', 'latter', 'former', 'first', 'part', 'two-part', 'process', 'use', 'several', 'classification', 'algorithm', 'relationship', 'evaluate', 'accurately', 'predict', 'target', 'economic', 'however', 'successful', 'model', 'often', 'complex', 'difficult', 'interpret', 'especially', 'non-technical', 'user', 'therefore', 'second', 'part', 'author', 'take', 'advantage', 'novel', 'general', 'explanation', 'used', 'explain', 'influence', 'individual', 'feature', 'model', 'prediction', 'show', 'traditional', 'machine-learning', 'approach', 'successful', 'modeling', 'dependency', 'relationship', 'furthermore', 'explanation', 'influence', 'input', 'feature', 'predicted', 'economic', 'provides', 'insight', 'meaningful', 'economic', 'interpretation']"
User interface for video observation over the internet,"['Prihavec B.', 'Solina F.']",[],1998,"This paper presents the design and application of a system for live video transmission and remote camera control over the World Wide Web. Extensive testing of the Internet Video Server (IVS) prompted us to improve its user interface. The GlobalView extension of IVS was developed which enables the generation of panoramic images of the environment and a more intuitive control of the camera. The live video frame is superimposed on a 360° static panoramic picture. By interactively moving a rectangular frame in the panoramic picture, the user locally selects the new direction of the camera. Once the view is selected the users prompts the selection and the command is issued over the Internet to the remotely-controlled camera. The static panoramic image is constantly updated in areas where new live video information gets available. Two methods are described for static panoramic image generation: one uses geometric transformation and the other is the brute-force scanning approach. We discuss how visual summaries of activities on an observed location can be generated and custom queries made with a similar intuitive user interface.",en,11,"['present', 'design', 'application', 'system', 'live', 'video', 'transmission', 'remote', 'camera', 'control', 'world', 'wide', 'web', 'extensive', 'testing', 'internet', 'video', 'server', 'iv', 'prompted', 'improve', 'user', 'interface', 'globalview', 'extension', 'iv', 'developed', 'enables', 'generation', 'panoramic', 'image', 'environment', 'intuitive', 'control', 'camera', 'live', 'video', 'frame', 'superimposed', 'static', 'panoramic', 'picture', 'interactively', 'moving', 'rectangular', 'frame', 'panoramic', 'picture', 'user', 'locally', 'selects', 'new', 'direction', 'camera', 'view', 'selected', 'user', 'prompt', 'selection', 'command', 'issued', 'internet', 'remotely-controlled', 'camera', 'static', 'panoramic', 'image', 'constantly', 'updated', 'area', 'new', 'live', 'video', 'information', 'get', 'available', 'two', 'described', 'static', 'panoramic', 'image', 'generation', 'one', 'us', 'geometric', 'transformation', 'brute-force', 'scanning', 'approach', 'discus', 'visual', 'summary', 'activity', 'observed', 'location', 'generated', 'custom', 'query', 'made', 'similar', 'intuitive', 'user', 'interface']"
Drifting concepts as hidden factors in clinical studies,['Kukar M.'],"['Clinical studies', 'Concept drift', 'Data mining', 'Gradual forgetting', 'Machine learning', 'Partial memory learning', 'Windowing']",2003,"Most statistical, Machine Learning and Data Mining algorithms assume that the data they use is a random sample drawn from a stationary distribution. Unfortunately, many of the databases available for mining today violate this assumption. They were gathered over months or years, and the underlying processes generating them may have changed during this time, sometimes radically (this is also known as a concept drift). In clinical institutions, where the patients' data are regularly stored in a central computer databases, similar situations may occur. Expert physicians may easily, even unconsciously, adapt to the changed environment, whereas Machine Learning and Data Mining tools may fail due to their underlaying assumptions. It is therefore important to detect and adapt to the changed situation. In the paper we review several techniques for dealing with concept drift in Machine Learning and Data Mining frameworks and evaluate their use in clinical studies with a case study of coronary artery disease diagnostics.",en,10,"['statistical', 'machine', 'learning', 'data', 'mining', 'algorithm', 'assume', 'data', 'use', 'random', 'sample', 'drawn', 'stationary', 'distribution', 'unfortunately', 'many', 'database', 'available', 'mining', 'today', 'violate', 'assumption', 'gathered', 'month', 'year', 'underlying', 'process', 'generating', 'may', 'changed', 'time', 'sometimes', 'radically', 'known', 'concept', 'drift', 'clinical', 'institution', 'patient', 'data', 'regularly', 'stored', 'central', 'computer', 'database', 'similar', 'situation', 'may', 'occur', 'expert', 'physician', 'may', 'easily', 'even', 'unconsciously', 'adapt', 'changed', 'environment', 'machine', 'learning', 'data', 'mining', 'tool', 'may', 'fail', 'due', 'underlaying', 'assumption', 'therefore', 'important', 'detect', 'adapt', 'changed', 'situation', 'review', 'several', 'technique', 'dealing', 'concept', 'drift', 'machine', 'learning', 'data', 'mining', 'framework', 'evaluate', 'use', 'clinical', 'case', 'coronary', 'artery', 'disease', 'diagnostics', 'coronary artery', 'artery disease']"
Detecting fortresses in chess,"['Guid M.', 'Bratko I.']","['Chess', 'Computer chess', 'Fortress', 'Game playing', 'Heuristic search']",2012,"We introduce a computational method for semi-automatical detecting fortresses in the game of chess. It is based on computer heuristic search and can be easily used with any state-of-the-art chess program. We also demonstrate a method for avoiding fortresses and show how to find a break-through plan when one exists. Although the paper is not concerned with the question whether it is practical or not to implement the method within the state-of-the-art chess programs, the method can be useful, for example, in correspondence chess or in composing chess studies, where a human-computer interaction is of great importance, and the time available is significantly longer than in ordinary chess competitions.",en,2,"['introduce', 'computational', 'semi-automatical', 'detecting', 'fortress', 'game', 'chess', 'based', 'computer', 'heuristic', 'search', 'easily', 'used', 'state-of-the-art', 'chess', 'program', 'demonstrate', 'avoiding', 'fortress', 'show', 'find', 'break-through', 'plan', 'one', 'exists', 'although', 'concerned', 'question', 'whether', 'practical', 'implement', 'state-of-the-art', 'chess', 'program', 'useful', 'example', 'correspondence', 'chess', 'composing', 'chess', 'human-computer', 'interaction', 'great', 'importance', 'time', 'available', 'significantly', 'longer', 'ordinary', 'chess', 'competition']"
Building cloud-based biometric services,"['Peer P.', 'Bule J.', 'Gros J.Z.', 'Struc V.']","['Biometrics', 'Cloud computing', 'Cloud integration', 'Fingerprint recognition', 'SaaS']",2013,"Over the next few years the amount of biometric data being at the disposal of various agencies and authentication service providers is expected to grow significantly. Such quantities of data require not only enormous amounts of storage but unprecedented processing power as well. To be able to face this future challenges more and more people are looking towards cloud computing, which can address these challenges quite effectively with its seemingly unlimited storage capacity, rapid data distribution and parallel processing capabilities. Since the available literature on how to implement cloud-based biometric services is extremely scarce, this paper capitalizes on the most important challenges encountered during the development work on biometric services, presents the most important standards and recommendations pertaining to biometric services in the cloud and ultimately, elaborates on the potential value of cloud-based biometric solutions by presenting a few existing (commercial) examples. In the final part of the paper, a case study on fingerprint recognition in the cloud and its integration into the e-learning environment Moodle is presented.",en,26,"['next', 'year', 'amount', 'biometric', 'data', 'disposal', 'various', 'agency', 'authentication', 'service', 'provider', 'expected', 'grow', 'significantly', 'quantity', 'data', 'require', 'enormous', 'amount', 'storage', 'unprecedented', 'processing', 'power', 'well', 'able', 'face', 'future', 'challenge', 'people', 'looking', 'towards', 'cloud', 'computing', 'address', 'challenge', 'quite', 'effectively', 'seemingly', 'unlimited', 'storage', 'capacity', 'rapid', 'data', 'distribution', 'parallel', 'processing', 'capability', 'since', 'available', 'implement', 'cloud-based', 'biometric', 'service', 'extremely', 'scarce', 'capitalizes', 'important', 'challenge', 'encountered', 'development', 'work', 'biometric', 'service', 'present', 'important', 'standard', 'recommendation', 'pertaining', 'biometric', 'service', 'cloud', 'ultimately', 'elaborates', 'potential', 'value', 'cloud-based', 'biometric', 'solution', 'presenting', 'existing', 'commercial', 'example', 'final', 'part', 'case', 'fingerprint', 'recognition', 'cloud', 'integration', 'e-learning', 'environment', 'moodle', 'presented']"
Estimation of minimum sample size for identification of the most important features: A case study providing a qualitative B2B sales data set,"['Bohanec M.', 'Borstnar M.K.', 'Robnik-Sikonja M.']","['B2B sales forecasting', 'Data set reduction', 'Machine learning', 'Sample size']",2017,"An important task in machine learning is to reduce data set dimensionality, which in turn contributes to reducing computational load and data collection costs, while improving human understanding and interpretation of models. We introduce an operational guideline for determining the minimum number of instances sufficient to identify correct ranks of features with the highest impact. We conduct tests based on qualitative B2B sales forecasting data. The results show that a relatively small instance subset is sufficient for identifying the most important features when rank is not important.",en,0,"['important', 'task', 'machine', 'learning', 'reduce', 'data', 'set', 'dimensionality', 'turn', 'contributes', 'reducing', 'computational', 'load', 'data', 'collection', 'cost', 'improving', 'human', 'understanding', 'interpretation', 'model', 'introduce', 'operational', 'guideline', 'determining', 'minimum', 'number', 'instance', 'sufficient', 'identify', 'correct', 'rank', 'feature', 'highest', 'impact', 'conduct', 'test', 'based', 'qualitative', 'b2b', 'sale', 'forecasting', 'data', 'show', 'relatively', 'small', 'instance', 'subset', 'sufficient', 'identifying', 'important', 'feature', 'rank', 'important']"
Calculating similarity of folk song variants with melody-based features,"['Bohak C.', 'Marolt M.']",[],2009,"As folk songs live largely through oral transmission, there usually is no standard form of a song - each performance of a folk song may be unique. Different interpretations of the same song are called song variants, all variants of a song belong to the same variant type. In the paper, we explore how various melody-based features relate to folk song variants. Specifically, we explore whether we can derive a melodic similarity measure that would correlate to variant types in the sense that it would measure songs belonging to the same variant type as more similar, in contrast to songs from different variant types. The measure would be useful for folk song retrieval based on variant types, classification of unknown tunes, as well as a measure of similarity between variant types. We experimented with a number of melodic features calculated from symbolic representations of folk song melodies and combined them into a melodybased folk song similarity measure. We evaluated the measure on the task of classifying an unknown melody into a set of existing variant types. We show that the proposed measure gives the correct variant type in the top 10 list for 68% of queries in our data set.",en,7,"['folk', 'song', 'live', 'largely', 'oral', 'transmission', 'usually', 'standard', 'form', 'song', 'performance', 'folk', 'song', 'may', 'unique', 'different', 'interpretation', 'song', 'called', 'song', 'variant', 'variant', 'song', 'belong', 'variant', 'type', 'explore', 'various', 'melody-based', 'feature', 'relate', 'folk', 'song', 'variant', 'specifically', 'explore', 'whether', 'derive', 'melodic', 'similarity', 'measure', 'correlate', 'variant', 'type', 'sense', 'measure', 'song', 'belonging', 'variant', 'type', 'similar', 'contrast', 'song', 'different', 'variant', 'type', 'measure', 'useful', 'folk', 'song', 'retrieval', 'based', 'variant', 'type', 'classification', 'unknown', 'tune', 'well', 'measure', 'similarity', 'variant', 'type', 'experimented', 'number', 'melodic', 'feature', 'calculated', 'symbolic', 'representation', 'folk', 'song', 'melody', 'combined', 'melodybased', 'folk', 'song', 'similarity', 'measure', 'evaluated', 'measure', 'task', 'classifying', 'unknown', 'melody', 'set', 'existing', 'variant', 'type', 'show', 'proposed', 'measure', 'give', 'correct', 'variant', 'type', 'top', 'list', 'query', 'data', 'set', 'folk song', 'folk song', 'folk song', 'folk song', 'folk song', 'folk song']"
Segmentation of range images as the search for geometric parametric models,"['Leonardis A.', 'Gupta A.', 'Bajcsy R.']",[],1995,"Segmentation of range images has long been considered in computer vision as an important but extremely difficult problem. In this paper we present a new paradigm for the segmentation of range images into piecewise continuous surfaces. Data aggregation is performed via model recovery in terms of variable-order bi-variate polynomials using iterative regression. Model recovery is initiated independently in regularly placed seed regions in the image. All the recovered models are potential candidates for the final description of the data. Selection of the models is defined as a quadratic Boolean problem, and the solution is sought by the WTA (winner-takes-all) technique, which turns out to be a good compromise between the speed of computation and the accuracy of the solution. The overall efficiency of the method is achieved by combining model recovery and model selection in an iterative way. Partial recovery of the models is followed by the selection (optimization) procedure and only the ""best"" models are allowed to develop further. The major novelty of the approach lies in an effective combination of simple component algorithms, which stands in contrast to methods which attempt to solve the problem in a single processing step using sophisticated means. We present the results on several real range images.",en,115,"['segmentation', 'range', 'image', 'long', 'considered', 'computer', 'vision', 'important', 'extremely', 'difficult', 'problem', 'present', 'new', 'paradigm', 'segmentation', 'range', 'image', 'piecewise', 'continuous', 'surface', 'data', 'aggregation', 'performed', 'via', 'model', 'recovery', 'term', 'variable-order', 'bi-variate', 'polynomial', 'using', 'iterative', 'regression', 'model', 'recovery', 'initiated', 'independently', 'regularly', 'placed', 'seed', 'region', 'image', 'recovered', 'model', 'potential', 'candidate', 'final', 'description', 'data', 'selection', 'model', 'defined', 'quadratic', 'boolean', 'problem', 'solution', 'sought', 'wta', 'winner-takes-all', 'technique', 'turn', 'good', 'compromise', 'speed', 'computation', 'accuracy', 'solution', 'overall', 'efficiency', 'achieved', 'combining', 'model', 'recovery', 'model', 'selection', 'iterative', 'way', 'partial', 'recovery', 'model', 'followed', 'selection', 'optimization', 'procedure', 'best', 'model', 'allowed', 'develop', 'major', 'novelty', 'approach', 'lie', 'effective', 'combination', 'simple', 'component', 'algorithm', 'stand', 'contrast', 'attempt', 'solve', 'problem', 'single', 'processing', 'step', 'using', 'sophisticated', 'mean', 'present', 'several', 'real', 'range', 'image']"
Mining data from hemodynamic simulations for generating prediction and explanation models,"['Bosnic Z.', 'Vracar P.', 'Radovi M.D.', 'Devedzic G.', 'Filipovic N.D.', 'Kononenko I.']","['Arterial stenosis', 'data mining', 'machine learning', 'medical expert system']",2012,"One of the most common causes of human death is stroke, which can be caused by carotid bifurcation stenosis. In our work, we aim at proposing a prototype of a medical expert system that could significantly aid medical experts to detect hemodynamic abnormalities (increased artery wall shear stress). Based on the acquired simulated data, we apply several methodologies for1) predicting magnitudes and locations of maximum wall shear stress in the artery, 2) estimating reliability of computed predictions, and 3) providing user-friendly explanation of the models decision. The obtained results indicate that the evaluated methodologies can provide a useful tool for the given problem domain.",en,12,"['one', 'common', 'cause', 'human', 'death', 'stroke', 'caused', 'carotid', 'bifurcation', 'stenosis', 'work', 'aim', 'proposing', 'prototype', 'medical', 'expert', 'system', 'could', 'significantly', 'aid', 'medical', 'expert', 'detect', 'hemodynamic', 'abnormality', 'increased', 'artery', 'wall', 'shear', 'stress', 'based', 'acquired', 'simulated', 'data', 'apply', 'several', 'for1', 'predicting', 'magnitude', 'location', 'maximum', 'wall', 'shear', 'stress', 'artery', 'estimating', 'reliability', 'computed', 'prediction', 'providing', 'user-friendly', 'explanation', 'model', 'decision', 'obtained', 'indicate', 'evaluated', 'provide', 'useful', 'tool', 'given', 'problem', 'domain']"
Fuzzy c-means in an MDL-framework,"['Selb A.', 'Bischof H.', 'Leonardis A.']",[],2000,In this paper we present a Minimum Description Length (MDL) framework for fuzzy clustering algorithms. This framework enables us to find an optimal number of cluster centers. We applied our approach to the fuzzy c-means algorithm for which we designed a computationally efficient procedure. We report the results of our approach on a 2D clustering problem and on RGB color image segmentation.,en,0,"['present', 'minimum', 'description', 'length', 'mdl', 'framework', 'fuzzy', 'clustering', 'algorithm', 'framework', 'enables', 'find', 'optimal', 'number', 'cluster', 'center', 'applied', 'approach', 'fuzzy', 'c-means', 'algorithm', 'designed', 'computationally', 'efficient', 'procedure', 'report', 'approach', 'clustering', 'problem', 'rgb', 'color', 'image', 'segmentation']"
Cots products to trace method enactment: Review and selection,"['Khodabandelou G.', 'Hug C.', 'Deneckere R.', 'Salinesi C.', 'Bajec M.', 'Kornyshova E.', 'Jankovic M.']","['Decision-making', 'Method engineering', 'Tool review', 'Trace based tool']",2013,"Observing information systems projects shows that Information Systems Engineering (ISE) methods are underused. The iAMF project aims at (a) tracing stakeholders' activities to identify whether this statement is true and (b) proposing more efficient ISE methods. To trace stakeholders' activities, we need a tool able to record any computerized actions -as opening applications, modifying documents, compiling programs, etc. This paper presents a review of trace-based tools that was undertaken to address the issue of recording information systems engineering methods enactment. We followed the MADISE decision making approach to select the most appropriate trace-based tool for the iAMF project.",en,2,"['observing', 'information', 'system', 'project', 'show', 'information', 'system', 'engineering', 'ise', 'underused', 'iamf', 'project', 'aim', 'tracing', 'stakeholder', 'activity', 'identify', 'whether', 'statement', 'true', 'proposing', 'efficient', 'ise', 'trace', 'stakeholder', 'activity', 'need', 'tool', 'able', 'record', 'computerized', 'action', 'opening', 'application', 'modifying', 'document', 'compiling', 'program', 'etc', 'present', 'review', 'trace-based', 'tool', 'undertaken', 'address', 'issue', 'recording', 'information', 'system', 'engineering', 'enactment', 'followed', 'madise', 'decision', 'making', 'approach', 'select', 'appropriate', 'trace-based', 'tool', 'iamf', 'project']"
